domain,network,provider_type,video_provider,email
freepspace.com,UnknownNetwork,api_stream,www1.acneohno.com,
fsiblog.pro,UnknownNetwork,embedded_player,fsiblog.pro,
fsiblog.run,UnknownNetwork,api_stream,www.fsiblog.run,
hdpornfree.xxx,UnknownNetwork,direct_cdn,aucdn.net,
hdtubefucking.com,UnknownNetwork,unknown,,
hotindiansexy.com,UnknownNetwork,embedded_player,.,
ijavhd.com,UnknownNetwork,external_cdn,ijavhd.com,
imdb.com,UnknownNetwork,unknown,,
indianhiddencams.com,UnknownNetwork,unknown,,
indianhomevideo.net,UnknownNetwork,unknown,,
indianporn360.com,UnknownNetwork,unknown,,
indianporn365.com,UnknownNetwork,unknown,,
indianporn365.net,UnknownNetwork,unknown,,
indianporncave.mobi,RealSrvNetwork,api_stream,beacon.min.js,
indianpornlist.com,UnknownNetwork,embedded_player,xnxx2.tv,
indianpornsites.net,IndianPornEmpire,embedded_player,indianpornsites.net,
indianptv.com,UnknownNetwork,api_stream,www1.acneohno.com,
indianpworld.com,UnknownNetwork,api_stream,www1.acneohno.com,
indiansexmms.co,UnknownNetwork,unknown,,
indiansexmovies.mobi,UnknownNetwork,unknown,,
indianxclips.com,UnknownNetwork,api_stream,beacon.min.js,
indiapornfilm2.com,UnknownNetwork,unknown,,
iporntv.net,UnknownNetwork,unknown,,
jennymovies.com,UnknownNetwork,api_stream,www.jennymovies.com,
kamababa.desi,UnknownNetwork,external_cdn,thekamababa.com,
khalifa-escorts.com,UnknownNetwork,api_stream,www.khalifa-escorts.com,
leakedviral.com,UnknownNetwork,external_cdn,leakedviral.com,
letsporn.com,UnknownNetwork,self_or_private_cdn,letsporn.com,
lobstertube.com,UnknownNetwork,api_stream,c1.ttcache.com,
m-xnxx.com,UnknownNetwork,embedded_player,xnxx-cdn.com,
masafun.one,UnknownNetwork,unknown,,
megaxh.com,UnknownNetwork,external_cdn,xhpingcdn.com,
metaporn.com,UnknownNetwork,external_cdn,ttcache.com,
mmsgram.com,UnknownNetwork,self_or_private_cdn,mmsgram.com,
mmsviral.cc,UnknownNetwork,unknown,,
mmsviral.me,UnknownNetwork,unknown,,
mmsxposure.com,UnknownNetwork,external_cdn,mmsxposure.com,
mmsxxx.com,UnknownNetwork,external_cdn,mmsxxx.com,
mydesi.click,UnknownNetwork,api_stream,mydesi.click,
mydesi.ltd,UnknownNetwork,embedded_player,mydesi.ltd,
mydesi.one,UnknownNetwork,api_stream,gmpg.org,
mydesi.rent,UnknownNetwork,embedded_player,mydesi.rent,
mydesi.sbs,UnknownNetwork,api_stream,beacon.min.js,
mydesi2.bond,UnknownNetwork,api_stream,beacon.min.js,
mydesixxx3.com,IndianPornEmpire,self_or_private_cdn,mydesixxx3.com,
myindianporn.net,UnknownNetwork,unknown,,
noodlemagazine.com,UnknownNetwork,unknown,,
onlydesiporn.com,UnknownNetwork,embedded_player,onlydesiporn.com,
onlyindianpornx.net,UnknownNetwork,api_stream,beacon.min.js,
originalindianporn.pro,RealSrvNetwork,api_stream,beacon.min.js,
parivahan-sewa.com,UnknownNetwork,external_cdn,parivahan-sewa.com,
pervindian.com,UnknownNetwork,external_cdn,ogp.me,
pornforindians.net,UnknownNetwork,api_stream,beacon.min.js,
pornhub.com,UnknownNetwork,unknown,,
porntrex.tv,UnknownNetwork,external_cdn,cdntrex.com,
porzo.com,UnknownNetwork,external_cdn,ttcache.com,
pussyspace.com,UnknownNetwork,external_cdn,pussyspace.com,
qorno.com,UnknownNetwork,api_stream,c1.ttcache.com,
quora.com,UnknownNetwork,unknown,,
redwap-xxx.com,UnknownNetwork,unknown,,
smutindia.net,UnknownNetwork,external_cdn,smutindia.net,
sotwe.com,UnknownNetwork,unknown,,
tataplaybinge.com,UnknownNetwork,external_cdn,videoready.tv,
thebestfetishsites.com,UnknownNetwork,embedded_player,thebestfetishsites.com,
theindiansex.info,UnknownNetwork,unknown,,
theindiansexstory.com,UnknownNetwork,api_stream,beacon.min.js,
thekamababa.com,IndianPornEmpire,self_or_private_cdn,thekamababa.com,
theporndude.com,UnknownNetwork,unknown,,
thepornguy.org,UnknownNetwork,embedded_player,thepornguy.org,
thepornlist.net,UnknownNetwork,embedded_player,thepornlist.net,
thepornmap.com,UnknownNetwork,embedded_player,pornhub.com,
thumbzilla.com,UnknownNetwork,external_cdn,ypncdn.com,
tnaflix.com,UnknownNetwork,unknown,,
topindianp.com,UnknownNetwork,api_stream,www1.acneohno.com,
tubepleasure.com,UnknownNetwork,api_stream,tubepleasure.com,
ukdevilz.com,UnknownNetwork,unknown,,
viralkand.app,UnknownNetwork,embedded_player,viralkand.app,
viralkand.com,UnknownNetwork,external_cdn,viralkand.com,
viralkand.ink,UnknownNetwork,embedded_player,desisexxnxx.com,
viralmms.cc,UnknownNetwork,external_cdn,viralmms.cc,
viralmms.com,UnknownNetwork,external_cdn,viralmms.net,
viralmmsdesi.me,UnknownNetwork,embedded_player,desisexxnxx.com,
wvt99.top,UnknownNetwork,api_stream,schema.org,
xchudai.com,UnknownNetwork,api_stream,fonts.googleapis.com,
xhaccess.com,UnknownNetwork,external_cdn,xhpingcdn.com,
xhamster.com,UnknownNetwork,external_cdn,xhpingcdn.com,
xhamster.desi,UnknownNetwork,unknown,,
xhamster1.desi,UnknownNetwork,external_cdn,xhpingcdn.com,
xhamster19.com,UnknownNetwork,external_cdn,xhpingcdn.com,
xhopen.com,UnknownNetwork,unknown,,
xnxx.com,UnknownNetwork,unknown,,
xnxx.health,XNXXNetwork,embedded_player,xnxx-cdn.com,
xnxx.place,XNXXNetwork,embedded_player,xnxx.com,
xvideos-india.com,UnknownNetwork,external_cdn,xvideos-cdn.com,
xvideos.com,UnknownNetwork,unknown,,
xvideos.tube,UnknownNetwork,external_cdn,xvideos-cdn.com,
xvideos79.com,UnknownNetwork,embedded_player,xvideos79.com,
xxvideos.video,UnknownNetwork,embedded_player,xxvideos.video,
xxxbp.tv,UnknownNetwork,external_cdn,mjedge.net,
xxxindianfilms.pro,RealSrvNetwork,api_stream,beacon.min.js,omervenna123@gmail.com
xxxrapid.in,UnknownNetwork,direct_cdn,aucdn.net,
xxxvideoindian2.com,IndianPornEmpire,external_cdn,xxxvideoindian2.com,
youporn.com,UnknownNetwork,unknown,,
