domain,cdn_provider,provider_type,removal_page_url,removal_type,contact_email,last_checked,data_quality
quora.com,,unknown,https://www.quora.com/contact,email,,32:57.1,1
smutindia.net,smutindia.net,external_cdn,,unknown,,05:56.0,1
tataplaybinge.com,videoready.tv,external_cdn,,unknown,,06:19.5,1
thebestfetishsites.com,thebestfetishsites.com,embedded_player,,unknown,,06:24.7,1
theindiansexstory.com,beacon.min.js,api_stream,,unknown,,06:49.3,1
thepornlist.net,thepornlist.net,embedded_player,,unknown,,07:24.6,1
viralkand.ink,desisexxnxx.com,embedded_player,,unknown,,08:44.0,1
viralmms.cc,viralmms.cc,external_cdn,,unknown,,08:47.8,1
viralmms.com,viralmms.net,external_cdn,,unknown,,08:51.4,1
viralmmsdesi.me,desisexxnxx.com,embedded_player,,unknown,,08:55.3,1
xchudai.com,fonts.googleapis.com,api_stream,,unknown,,09:04.8,1
xnxx.health,xnxx-cdn.com,embedded_player,,unknown,,10:30.3,1
xnxx.place,xnxx.com,embedded_player,,unknown,,10:34.3,1
xxvideos.video,xxvideos.video,embedded_player,,unknown,,11:14.6,1
xxxindianfilms.pro,beacon.min.js,api_stream,,unknown,,11:23.4,1
4tube.com,,,,unknown,,2026-03-12T16:18:54.892407,0
aipornnvideos.com,,,,unknown,,2026-03-12T16:18:54.892407,0
desixclip.me,,unknown,,unknown,,14:22.2,0
dropmasti.com,,unknown,,unknown,,15:16.1,0
erome.com,,unknown,,unknown,,35:12.8,0
fuq.com,,,,unknown,,2026-03-12T16:18:54.892407,0
fuqpremium.com,,,,unknown,,2026-03-12T16:18:54.892407,0
gaymaltube.com,,,,unknown,,2026-03-12T16:18:54.892407,0
imdb.com,,unknown,,unknown,,41:55.8,0
iporntv.net,,unknown,,unknown,,22:20.5,0
ixxx.com,,,,unknown,,2026-03-12T16:18:54.892407,0
maturetube.com,,,,unknown,,2026-03-12T16:18:54.892407,0
pornmd.com,,,,unknown,,2026-03-12T16:18:54.892407,0
tgtube.com,,,,unknown,,2026-03-12T16:18:54.892407,0
tubepornstars.com,,,,unknown,,2026-03-12T16:18:54.892407,0
vrxxx.com,,,,unknown,,2026-03-12T16:18:54.892407,0
